epoch,step,train_loss,val_loss
0,49,0.08661836385726929,
0,99,0.02367164008319378,
0,149,0.026610128581523895,
0,199,0.0016459054313600063,
0,249,0.0017636617412790656,
0,299,2.020029933191836e-05,
0,349,0.005107227247208357,
0,399,0.0011696561705321074,
0,449,0.003166623180732131,
0,499,0.014304326847195625,
0,549,0.015529667027294636,
0,599,0.003915210720151663,
0,649,0.0002685757935978472,
0,699,0.00237749214284122,
0,749,5.263376806396991e-05,
0,799,0.07981451600790024,
0,849,0.006124828942120075,
0,899,0.0038885599933564663,
0,949,0.018088284879922867,
0,999,0.0027119626756757498,
0,1049,0.016321294009685516,
0,1099,0.04378233477473259,
0,1149,0.003944247495383024,
0,1199,0.07278770208358765,
0,1249,0.015035079792141914,
0,1299,0.00029396635363809764,
0,1349,0.05249786749482155,
0,1399,0.024687496945261955,
0,1449,0.0028157569468021393,
0,1499,0.0009983230847865343,
0,1549,0.05016709864139557,
0,1599,0.004191006533801556,
0,1649,0.0009911319939419627,
0,1699,0.0862732082605362,
0,1749,0.0003122111957054585,
0,1799,0.00036107146297581494,
0,1849,0.0146379005163908,
0,1899,0.00022441695909947157,
0,1949,0.00372691941447556,
0,1999,0.007639551069587469,
0,2049,0.020558888092637062,
0,2099,0.06854704022407532,
0,2149,0.019534407183527946,
0,2199,0.00445830961689353,
0,2249,0.0015946284402161837,
0,2299,0.019754283130168915,
0,2349,0.010926510207355022,
0,2399,0.031598228961229324,
0,2449,0.0036854904610663652,
0,2499,0.001822127727791667,
0,2549,0.0017604881431907415,
0,2599,0.004242120310664177,
0,2649,0.00018639735935721546,
0,2699,0.01241591852158308,
0,2749,0.0034734555520117283,
0,2799,0.00799399521201849,
0,2849,0.01753436215221882,
0,2899,0.00512800645083189,
0,2949,0.0061234645545482635,
0,2999,0.007221613544970751,
0,3049,0.10643444210290909,
0,3099,0.005827698390930891,
0,3149,0.11856763064861298,
0,3199,0.1030081957578659,
0,3249,0.0007362518226727843,
0,3299,0.025704337283968925,
0,3349,0.0776759460568428,
0,3399,0.006855477578938007,
0,3449,0.05675594136118889,
0,3499,0.14377613365650177,
0,3549,0.11433020234107971,
0,3599,0.019881077110767365,
0,3649,0.000345295004080981,
0,3699,0.0018634396838024259,
0,3749,0.0003284089907538146,
0,3799,0.05570753663778305,
0,3849,0.01831374317407608,
0,3899,0.014450925402343273,
0,3949,0.009053131565451622,
0,3999,0.031911369413137436,
0,4049,0.0002024344285018742,
0,4099,0.00010378508159192279,
0,4149,0.009877135045826435,
0,4199,0.004852755460888147,
0,4249,0.009409800171852112,
0,4299,0.018314972519874573,
0,4349,0.0027001728303730488,
0,4399,0.06459567695856094,
0,4449,0.00796989444643259,
0,4499,0.010869056917726994,
0,4549,0.029888754710555077,
0,4599,7.818147423677146e-05,
0,4649,0.00107263692189008,
0,4699,0.0002732231514528394,
0,4749,0.0014138706028461456,
0,4799,0.004526655655354261,
0,4849,0.005849170032888651,
0,4899,0.010033844038844109,
0,4949,0.019551310688257217,
0,4999,0.007277299650013447,
0,5049,0.010697021149098873,
0,5099,0.0032140174880623817,
0,5149,0.04455454647541046,
0,5199,0.001396428095176816,
0,5249,0.0053416648879647255,
0,5299,8.330930722877383e-05,
0,5349,0.0013543633976951241,
0,5399,0.0038326599169522524,
0,5449,0.018772942945361137,
0,5499,0.17988905310630798,
0,5549,0.009783066809177399,
0,5599,0.0008040610700845718,
0,5649,0.15517085790634155,
0,5699,0.009027172811329365,
0,5749,0.01119219046086073,
0,5787,,0.029320430010557175
1,5799,0.007301609963178635,
1,5849,1.2059056189173134e-06,
1,5899,0.0120180519297719,
1,5949,0.01576639898121357,
1,5999,0.001924210344441235,
1,6049,0.042314596474170685,
1,6099,1.6207546650548466e-05,
1,6149,0.022108424454927444,
1,6199,0.0010658740065991879,
1,6249,0.00029482695390470326,
1,6299,0.0062525952234864235,
1,6349,0.007300436031073332,
1,6399,0.0034661598037928343,
1,6449,0.00015868540504015982,
1,6499,0.006578430999070406,
1,6549,0.0008203035686165094,
1,6599,0.08913568407297134,
1,6649,0.05569827929139137,
1,6699,0.03462665528059006,
1,6749,0.0033560162410140038,
1,6799,1.832458656281233e-05,
1,6849,0.03784819692373276,
1,6899,0.0034159820061177015,
1,6949,0.004412994720041752,
1,6999,0.008689900860190392,
1,7049,0.0009936353890225291,
1,7099,3.448213465162553e-05,
1,7149,0.019925303757190704,
1,7199,0.0015200645430013537,
1,7249,0.018123313784599304,
1,7299,0.06179732456803322,
1,7349,0.013098233379423618,
1,7399,0.0421869270503521,
1,7449,0.007744770962744951,
1,7499,0.0006572525599040091,
1,7549,0.04294462129473686,
1,7599,0.0346166156232357,
1,7649,0.0020622904412448406,
1,7699,0.001253694063052535,
1,7749,0.00010196337825618684,
1,7799,0.013777568005025387,
1,7849,0.000268177391262725,
1,7899,0.0026126212906092405,
1,7949,0.0004640952392946929,
1,7999,0.0023729801177978516,
1,8049,0.007486002054065466,
1,8099,0.016062764450907707,
1,8149,0.0007775830454193056,
1,8199,0.024279076606035233,
1,8249,0.08215904980897903,
1,8299,0.004507721401751041,
1,8349,0.0005551916547119617,
1,8399,0.013561743311583996,
1,8449,0.004190462175756693,
1,8499,0.006658254191279411,
1,8549,0.08899936825037003,
1,8599,0.00019173200416844338,
1,8649,0.04222145304083824,
1,8699,0.0021108570508658886,
1,8749,0.012922604568302631,
