date,h_1,h_3,h_12
1980-05-01,1.05367565525798,1.06607923238309,1.03122642941084
1980-06-01,1.00558346223754,1.03056353239915,1.02127966730484
1980-07-01,0.985716161584481,1.01529360608829,1.01647188376131
1980-08-01,0.939755978888597,0.980457233802867,1.00622035184646
1980-09-01,0.914341954114266,0.96075312132584,1.00042277628177
1980-10-01,0.90681576037009,0.955017841710432,0.999032410217918
1980-11-01,0.91669673635683,0.962411076624549,1.00125117797264
1980-12-01,0.898509523278079,0.948125079941063,0.996139592536973
1981-01-01,0.882121867389424,0.935075282573563,0.991595297274644
1981-02-01,0.874232013330431,0.928227701946453,0.988426289996225
1981-03-01,0.882575028898679,0.934024295580739,0.989113842119288
1981-04-01,0.862302973078643,0.918872467451937,0.985046834247713
1981-05-01,0.858146112264844,0.915901770027667,0.984550191007625
1981-06-01,0.869994296351009,0.925526622085053,0.988203651457302
1981-07-01,0.892582012682151,0.94308748302773,0.993836551558734
1981-08-01,0.926240658313567,0.968822180141408,1.00183623668878
1981-09-01,0.930932878176971,0.973284805864668,1.00408130298173
1981-10-01,0.917548040478607,0.963085907235671,1.00107677775852
1981-11-01,0.888207343590622,0.940495603820489,0.994301488873302
1981-12-01,0.872943909816414,0.928383641880881,0.990301655538435
1982-01-01,0.869093860857216,0.925004539838502,0.988971993868332
1982-02-01,0.868245154967795,0.924721705184461,0.989505358730243
1982-03-01,0.865356117849808,0.922368832944796,0.988699118326269
1982-04-01,0.880172096138291,0.933735082158698,0.9919912646629
1982-05-01,0.897761147583251,0.947121217979282,0.995959599338072
1982-06-01,0.911975195387432,0.958743273148267,0.99997840067894
1982-07-01,0.944203470662546,0.98409243871816,1.00798186352725
1982-08-01,0.998456039271263,1.02516224688068,1.02005190976106
1982-09-01,1.00174403661106,1.02683589716723,1.01931252475694
1982-10-01,1.03369062863615,1.04926788309353,1.02415354310531
1982-11-01,0.983698965549454,1.01070184947113,1.01186247088979
1982-12-01,0.937230865694595,0.974710735043771,1.00032530929475
1983-01-01,0.916946435154311,0.958042830470571,0.994154780772425
1983-02-01,0.900031888708872,0.944330425757049,0.988991859375036
1983-03-01,0.88737398568659,0.934307842163868,0.985538012114797
1983-04-01,0.882586169520249,0.930197489085948,0.983724050161432
1983-05-01,0.863430698092259,0.91456170282195,0.978275457179012
1983-06-01,0.848821318890083,0.902998441470722,0.974496962786276
1983-07-01,0.84067430489782,0.896591888081528,0.972423050821108
1983-08-01,0.830916119524256,0.888635268632719,0.969332361390742
1983-09-01,0.829933364367595,0.887617148606298,0.968693389090943
1983-10-01,0.839888614302026,0.895434419001446,0.970869602335243
1983-11-01,0.83359779878393,0.89088499890018,0.969554890093938
1983-12-01,0.829791299762057,0.88783519206752,0.968504607580554
1984-01-01,0.836019046071468,0.893201470860187,0.970321090913301
1984-02-01,0.852195045739639,0.905361687288333,0.973306584671391
1984-03-01,0.842750908004244,0.898424828668649,0.971259213009941
1984-04-01,0.852479512414445,0.905888971625984,0.973362826084572
1984-05-01,0.879533012694175,0.92667802377312,0.979523701836988
1984-06-01,0.888050060389595,0.933807286055271,0.982482815492909
1984-07-01,0.910067251748438,0.950765044828612,0.987750366478419
1984-08-01,0.93642975375616,0.970912990816574,0.993833214807753
1984-09-01,0.887504927405679,0.933524199977968,0.982973286178973
1984-10-01,0.85679153853137,0.909096820421112,0.975355951676857
1984-11-01,0.843392499617161,0.898593459064925,0.972095238656496
1984-12-01,0.840845083567486,0.897065525304464,0.971428624949279
1985-01-01,0.859037369146626,0.911192986240048,0.975383680211758
1985-02-01,0.815537670199583,0.877422812385244,0.965139485650086
1985-03-01,0.792944152825563,0.859683947309849,0.959679884468812
1985-04-01,0.77953162012462,0.84896256228082,0.956211325324271
1985-05-01,0.779325911515804,0.848667841164583,0.956107544818393
1985-06-01,0.770345595583484,0.841212551550643,0.953452365445161
1985-07-01,0.774515879568591,0.844517515337125,0.954494553953918
1985-08-01,0.788130197291748,0.855517971696374,0.957927553104507
1985-09-01,0.819341187518877,0.880281205039626,0.965702216057571
1985-10-01,0.832414112115574,0.890659147180119,0.969243961167581
1985-11-01,0.844838109592747,0.900649635574827,0.972699517703524
1985-12-01,0.84274676367721,0.899740789533151,0.973317105083584
1986-01-01,0.852960082465667,0.907987562004879,0.97628741108899
1986-02-01,0.884621509743387,0.932585097066502,0.984027446304691
1986-03-01,0.887865621127811,0.935531797083776,0.985529362021
1986-04-01,0.894018826372225,0.940964613374551,0.988226775598122
1986-05-01,0.916617924627409,0.959012616867732,0.994463876811049
1986-06-01,0.94540342792746,0.981788258487213,1.00193997326685
1986-07-01,0.999589483629324,1.02325087210661,1.01448749153142
1986-08-01,1.01597585194228,1.03668529939932,1.0198310400832
1986-09-01,1.03555761435722,1.05215078787126,1.02529451658078
1986-10-01,1.01487531815677,1.0367702900084,1.02149654192381
1986-11-01,1.00396412719282,1.02829093448071,1.01911620351584
1986-12-01,1.01781229849433,1.03909995604725,1.02253058328432
1987-01-01,1.05125000450102,1.06398706046728,1.02957003737098
1987-02-01,1.01222509889157,1.03491765746349,1.02154649372182
1987-03-01,0.984575601129984,1.01431002116499,1.0159766586485799
1987-04-01,0.982536087727964,1.01281056901056,1.01573306574909
1987-05-01,0.988487525452184,1.01827042979994,1.01796650397888
1987-06-01,1.02211112728126,1.04433057416866,1.02593909270367
1987-07-01,1.07803713371545,1.08669785347701,1.03830002556492
1987-08-01,1.16227522460219,1.14867418085664,1.05525806011244
1987-09-01,1.29259074371157,1.24152813411225,1.07923159590668
1987-10-01,1.49657925635488,1.379030919282,1.1112528763494
1987-11-01,1.30844350076803,1.25187896074396,1.08108082186759
1987-12-01,1.18447829243264,1.16273695571148,1.05685306828753
