date,h_1,h_3,h_12
1968-06-01,0.609827067116001,0.736694897387614,0.864775218575891
1968-07-01,0.600696534538469,0.728340572261153,0.860136013685151
1968-08-01,0.599080265405928,0.726054996343148,0.858215715947358
1968-09-01,0.594930400786895,0.72369599741478,0.857162747039013
1968-10-01,0.602126547312115,0.72717477227142,0.858461835684953
1968-11-01,0.608058251218525,0.732921057713533,0.862598864000947
1968-12-01,0.6072185386851,0.736869600889981,0.867253331980707
1969-01-01,0.60779833351901,0.740270229246076,0.871029034351099
1969-02-01,0.614270423148752,0.748175806813623,0.878070162788066
1969-03-01,0.61865914228589,0.755124071561297,0.88684381945962
1969-04-01,0.627922177287411,0.765968394782672,0.897865532887198
1969-05-01,0.638305874573141,0.777771359452143,0.908427790634217
1969-06-01,0.641690686062844,0.781126653655763,0.90952843401094
1969-07-01,0.640840754330363,0.779942555161781,0.908938830465788
1969-08-01,0.638995445718474,0.778076160398341,0.909530879159352
1969-09-01,0.639240624965124,0.776714846490163,0.908753382586419
1969-10-01,0.640259347022737,0.777418615505059,0.908445457464767
1969-11-01,0.653727911739666,0.785591372417683,0.911240641992115
1969-12-01,0.660515804282388,0.794041294398004,0.91721158158831
1970-01-01,0.684949383998007,0.815156557987606,0.926742160734421
1970-02-01,0.681206854451002,0.818541130135708,0.930745495646905
1970-03-01,0.682144725240919,0.821302100035282,0.933655534887925
1970-04-01,0.6899414311503,0.827039212624491,0.934289349117582
1970-05-01,0.686621407699726,0.825763210461646,0.932636705699605
1970-06-01,0.676659089991749,0.816179407902492,0.926552259085396
1970-07-01,0.676413002294316,0.815135684690604,0.925116132750099
1970-08-01,0.683473358784622,0.81842371325921,0.925292072375432
1970-09-01,0.695920159612849,0.825045576711149,0.925618113743456
1970-10-01,0.722197121836398,0.844143158623417,0.931471578265801
1970-11-01,0.721441458103348,0.845202154269208,0.933651640609333
1970-12-01,0.741911551094111,0.858710197777242,0.940146192977133
1971-01-01,0.706345575571293,0.832454004146707,0.929567993132205
1971-02-01,0.672817799089742,0.806741722049526,0.919928562999428
1971-03-01,0.646203680891759,0.784167430147874,0.910368026916882
1971-04-01,0.634520228655544,0.773242294555418,0.905097105975031
1971-05-01,0.633756908959537,0.768632401743703,0.900307012720337
1971-06-01,0.643250201901804,0.770461465569585,0.897581313638802
1971-07-01,0.651200050442144,0.773682425030307,0.897078430053967
