gvkey,datadate,tic,actq,ancq,epsfxq,lctq,ltq,revtq,capxy,roa,roe,pe_inc,divyield,pcf,roce,debt_ebitda,gpm,evm,cfm,npm,PEG_trailing,de_ratio,curr_ratio,ptb,roa_change,roe_change,pe_inc_change,divyield_change,pcf_change,roce_change,debt_ebitda_change,gpm_change,evm_change,cfm_change,npm_change,PEG_trailing_change,de_ratio_change,curr_ratio_change,ptb_change,relative_quarterly_return,target
8068,1970-03-31,OXY,0.0,0.0,-0.05660377358,0.0,0.0,0.03054928138,0.0,0.215,-0.17,7.398,5.52,3.1,0.232,1.911,0.271,6.322,0.123,0.08,1.25,0.902,1.616,3.44,0.0,-1.15755329,-0.005110274341,0.2432432432,-0.194595999,0.0,0.0,0.0,0.0,0.0,-0.05882352941,2.894080997,0.0,0.0,-0.1945680169,-0.07104022127,-0.1636069216
4839,1970-03-31,F,0.0,0.0,-0.1353383459,0.0,0.0,-0.1722540534,0.0,0.211,0.034,9.079,5.7,3.284,0.168,0.543,0.191,3.762,0.062,0.035,0.031,0.742,1.372,0.546,0.0,-0.6761904762,0.2674856904,0.007067137809,0.04752791069,-0.1204188482,0.3712121212,0.0,0.3542116631,-0.3260869565,-0.05405405405,0.1481481481,0.0,0.0,-0.005464480874,0.1388573322,0.1476810107
2817,1970-03-31,CAT,0.0,0.0,0.5609756098,0.0,0.0,0.1414273281,0.0,0.238,0.017,14.403,3.43,8.387,0.216,1.197,0.196,7.295,0.117,0.068,2.664,0.842,2.008,2.207,0.0,-0.896969697,0.08489002712,0.1357615894,-0.4950328135,0.01408450704,-0.04848966614,-0.3,-0.04814718163,-0.01680672269,-0.04225352113,1.669338677,0.0,0.0,-0.1196649382,0.05874841673,-0.02216146336
7985,1970-04-30,NOC,0.0,0.0,0.09210526316,0.0,0.0,0.02868420222,0.0,0.117,0.008,5.211,5.8,-4.734,0.128,4.431,0.093,7.891,0.049,0.031,0.541,2.271,1.768,0.648,0.0,-0.9298245614,-0.4580343214,0.8125,-0.447994403,0.0,0.0,0.0,0.0,0.0,-0.03125,-0.4742468416,0.0,0.0,-0.4480408859,-0.1810551199,-0.1181481319
1209,1970-06-30,APD,0.0,0.0,0.04615384615,0.0,0.0,0.09618091247,0.0,0.146,0.097,18.736,0.443,17.583,0.12,2.68,0.521,7.05,0.146,0.058,1.404,1.352,1.556,1.577,0.0,0.0,0.2227370619,-0.1641509434,0.2196018589,0.0,0.0,0.0,0.0,0.0,0.0,0.5080558539,0.0,0.0,0.2196442382,0.0711857245,0.04979121341
2403,1970-06-30,BMY,0.0,0.0,-0.2058823529,0.0,0.0,-0.01546167948,0.0,0.262,0.112,24.782,2.11,35.201,0.32,0.749,0.68,15.963,0.087,0.072,2.582,0.676,1.955,6.146,0.0,0.7230769231,0.08845748419,-0.1021276596,0.1127584245,0.0,0.0,0.0,0.0,0.0,0.0,0.1485765125,0.0,0.0,0.1128010139,0.006660419671,0.00699669967
4839,1970-06-30,F,0.0,0.0,0.3391304348,0.0,0.0,0.1519587629,0.0,0.211,0.069,10.896,4.87,3.865,0.163,0.609,0.191,2.243,0.061,0.034,0.038,0.742,1.372,0.639,0.0,1.029411765,0.2001321731,-0.1456140351,0.1769183922,-0.02976190476,0.1215469613,0.0,-0.403774588,-0.01612903226,-0.02857142857,0.2258064516,0.0,0.0,0.1703296703,0.1476810107,0.02148377895
6066,1970-06-30,IBM,0.0,0.0,0.09900990099,0.0,0.0,0.08880463921,0.0,0.414,0.087,31.177,1.8,18.761,0.346,0.215,0.766,14.374,0.27,0.134,1.519,0.4,2.263,5.68,0.0,1.289473684,-0.0568429332,0.04046242775,-0.04226862014,0.0,0.0,0.0,0.0,0.0,0.01515151515,-0.0269058296,0.0,0.0,-0.04215851602,-0.07278197247,0.00899692368
2086,1970-06-30,BAX,0.0,0.0,0.1666666667,0.0,0.0,0.0485305269,0.0,0.134,0.155,47.17,0.4,-179.52,0.129,3.104,0.462,37.617,0.105,0.082,2.41,0.952,4.134,6.414,0.0,0.0,-0.0246877843,0.03626943005,0.03255492925,0.0,0.0,0.0,0.0,0.0,0.01234567901,-0.07909820405,0.0,0.0,-0.03389064618,-0.08514501416,-0.1088229725
7257,1970-06-30,MRK,0.0,0.0,-0.05194805195,0.0,0.0,-0.01622658689,0.0,0.412,0.108,27.304,2.75,23.969,0.468,0.07,0.705,19.127,0.19,0.15,3.796,0.3,2.898,6.916,0.0,0.6119402985,-0.06062065644,0.04961832061,-0.04760201852,0.0,0.0,0.0,0.0,0.0,0.0,-0.07392046841,0.0,0.0,-0.04764527678,0.04283137273,-0.1422216809
3980,1970-06-30,DIS,0.0,0.0,0.5322580645,0.0,0.0,0.3262822632,0.0,0.198,0.094,29.732,0.287,17.993,0.195,1.317,0.269,11.909,0.156,0.122,1.464,0.629,3.976,3.522,0.0,0.4242424242,-0.1742716694,0.1081081081,-0.09913383067,0.0,0.0,0.0,0.0,0.0,0.04273504274,-0.1503192107,0.0,0.0,-0.09900230238,-0.01557240781,-0.1537436301
2991,1970-06-30,CVX,0.0,0.0,0.04098360656,0.0,0.0,0.01601516838,0.0,0.11,0.045,9.241,5.89,5.329,0.068,1.151,0.295,7.914,0.191,0.11,3.308,0.388,1.683,0.91,0.0,1.25,0.1110977516,-0.08540372671,0.09785743717,0.0,0.009649122807,0.0,0.009310036985,-0.02051282051,-0.0350877193,0.3524121014,0.0,0.0,0.09243697479,0.09315889167,-0.02446292766
3170,1970-06-30,CL,0.0,0.0,0.3148148148,0.0,0.0,-0.005050308971,0.0,0.171,0.064,14.799,3.37,14.934,0.215,0.606,0.526,7.548,0.049,0.033,2.333,0.794,2.126,1.81,0.0,2.555555556,0.1024284863,-0.1061007958,0.119574181,0.0,0.0,0.0,0.0,0.0,0.0,0.1194817658,0.0,0.0,0.120049505,-0.05261475894,0.05655639575
3144,1970-06-30,KO,0.0,0.0,0.5652173913,0.0,0.0,0.2845145813,0.0,0.353,0.133,30.927,2.01,28.049,0.456,0.119,0.496,16.142,0.119,0.089,2.392,0.591,2.07,7.392,0.0,1.046153846,-0.02163803739,-0.00495049505,0.008775400108,0.0,0.0,0.0,0.0,0.0,0.0,-0.06926070039,0.0,0.0,0.008733624454,0.05315041365,-0.08412893778
4503,1970-06-30,XOM,0.0,0.0,-0.2040816327,0.0,0.0,-0.01115410881,0.0,0.17,0.058,14.321,5.69,7.103,0.151,1.128,0.301,5.712,0.121,0.07,52.986,0.693,1.487,1.393,0.0,0.8125,0.2189122479,-0.139183056,0.1799003322,-0.01948051948,0.01075268817,0.0,0.01097345133,-0.03968253968,-0.05405405405,9.373140172,0.0,0.0,0.1608333333,0.1449963874,0.06574099191
7241,1970-06-30,CVS,0.0,0.0,0.08333333333,0.0,0.0,0.2528613008,0.0,0.308,0.274,20.448,2.19,42.588,0.452,0.268,0.421,11.069,0.065,0.05,1.732,0.657,2.603,4.486,0.0,0.3110047847,0.1003013345,-0.07983193277,0.4894033713,0.0,0.0,0.0,0.0,0.0,-0.03846153846,0.0913673598,0.0,0.0,-0.06111343658,-0.4191786276,0.04199669967
1078,1970-06-30,ABT,0.0,0.0,-0.115942029,0.0,0.0,0.01119839545,0.0,0.224,0.386,24.752,1.76,34.296,0.243,0.921,0.565,13.659,0.115,0.087,1.961,0.619,2.219,3.685,0.0,-0.3057553957,-0.0258186398,-0.005649717514,0.001986677574,0.0,0.0,0.0,0.0,0.0,0.0,0.02993697479,0.0,0.0,0.002175686701,0.02825495334,-0.05231224342
1722,1970-06-30,ADM,0.0,0.0,-0.6926829268,0.0,0.0,-0.9093284254,0.0,0.154,0.091,9.873,3.67,-3.538,0.152,2.347,0.087,5.243,0.032,0.02,0.22,1.086,2.19,0.721,1.961538462,0.5964912281,-0.1002460585,-0.1241050119,-1.961674368,3.222222222,-0.4669543493,0.5535714286,-0.6205399146,0.5238095238,0.8181818182,0.0,0.7459807074,-0.4621807466,0.01264044944,-0.3846118678,0.2359352918
7435,1970-06-30,MMM,0.0,0.0,0.07692307692,0.0,0.0,0.0434244699,0.0,0.334,0.089,26.791,1.99,30.133,0.365,0.151,0.501,14.827,0.151,0.111,4.203,0.36,2.343,4.871,0.0,1.170731707,0.03360339506,-0.038647343,0.03992959691,0.0,0.0,0.0,0.0,0.0,0.0,0.01965065502,0.0,0.0,0.03992314261,-0.08884745207,0.01252650099
8530,1970-06-30,PFE,0.0,0.0,-0.6823529412,0.0,0.0,0.008615842893,0.0,0.231,0.146,27.731,2.07,20.878,0.264,0.517,0.617,12.682,0.12,0.089,2.574,0.571,2.293,4.115,0.0,0.0,0.05641904762,0.02985074627,0.06514973726,0.0,0.0,0.008169934641,0.001737756714,0.0,0.0,-0.9185932509,0.0,0.0,0.07750720084,-0.5237459078,-0.01277508456
2817,1970-06-30,CAT,0.0,0.0,-0.03125,0.0,0.0,0.02363705681,0.0,0.238,0.067,15.034,3.6,8.338,0.199,1.264,0.187,7.699,0.114,0.063,2.46,0.842,2.008,2.105,0.0,2.941176471,0.0438103173,0.04956268222,-0.005842375104,-0.0787037037,0.0559732665,-0.04591836735,0.05538039753,-0.02564102564,-0.07352941176,-0.07657657658,0.0,0.0,-0.0462165836,-0.02216146336,-0.1291228683
7985,1970-07-31,NOC,0.0,0.0,0.1686746988,0.0,0.0,0.06879002008,0.0,0.114,0.149,6.571,4.6,-12.54,0.116,4.884,0.092,6.539,0.049,0.032,0.536,2.27,1.693,0.735,-0.02564102564,17.625,0.260986375,-0.2068965517,1.648922687,-0.09375,0.1022342586,-0.01075268817,-0.1713344316,0.0,0.03225806452,-0.009242144177,-0.0004403346543,-0.04242081448,0.1342592593,-0.1181481319,-0.008605707239
8762,1970-09-30,PG,0.0,0.0,0.8541666667,0.0,0.0,0.0664978903,0.0,0.268,0.173,21.991,2.36,19.79,0.307,0.335,0.392,8.406,0.089,0.072,2.489,0.453,2.406,3.6,0.0,0.04848484848,0.09691739824,-0.1226765799,0.1390583631,0.0,0.0,0.0,0.0,0.0,0.01408450704,0.05824829932,0.0,0.0,0.1388801012,-0.03300330033,0.002638624647
2086,1970-09-30,BAX,0.0,0.0,-0.2142857143,0.0,0.0,-0.01047533475,0.0,0.134,-0.564,47.794,0.41,-159.79,0.129,3.104,0.462,37.617,0.105,0.079,3.154,0.952,4.134,6.254,0.0,-4.638709677,0.01322874709,0.025,-0.1099041889,0.0,0.0,0.0,0.0,0.0,-0.03658536585,0.3087136929,0.0,0.0,-0.02494543187,-0.1088229725,-0.0161630893
4839,1970-09-30,F,0.0,0.0,-0.5584415584,0.0,0.0,-0.1281802143,0.0,0.211,0.089,11.037,4.63,3.958,0.172,0.605,0.191,1.63,0.062,0.034,0.039,0.742,1.372,0.674,0.0,0.2898550725,0.01294052863,-0.04928131417,0.02406209573,0.05521472393,-0.006568144499,0.0,-0.2732946946,0.01639344262,0.0,0.02631578947,0.0,0.0,0.05477308294,0.02148377895,-0.007331135013
6266,1970-09-30,JNJ,0.0,0.0,0.07894736842,0.0,0.0,0.01720034401,0.0,0.25,0.133,41.471,0.601,59.598,0.242,0.123,0.468,29.407,0.121,0.081,1.483,0.23,4.801,8.191,0.0,0.6219512195,0.1570503878,-0.1733149931,0.2082471719,0.0,0.0,0.0,0.0,0.0,0.0253164557,0.2256198347,0.0,0.0,0.2082903083,-0.02663615025,-0.01371992419
3144,1970-09-30,KO,0.0,0.0,0.06944444444,0.0,0.0,0.03268682534,0.0,0.353,0.209,34.896,1.72,32.74,0.456,0.119,0.496,16.142,0.119,0.054,2.783,0.591,2.07,8.628,0.0,0.5714285714,0.128334465,-0.144278607,0.167243039,0.0,0.0,0.0,0.0,0.0,-0.393258427,0.1634615385,0.0,0.0,0.1672077922,-0.08412893778,0.04329542183
1078,1970-09-30,ABT,0.0,0.0,0.2131147541,0.0,0.0,0.05069788797,0.0,0.224,0.27,28.688,1.47,41.169,0.243,0.921,0.565,13.659,0.115,0.088,2.367,0.619,2.219,4.423,0.0,-0.3005181347,0.1590174531,-0.1647727273,0.2004023793,0.0,0.0,0.0,0.0,0.0,0.01149425287,0.2070372259,0.0,0.0,0.2002713704,-0.05231224342,0.01600602835
1209,1970-09-30,APD,0.0,0.0,-0.08823529412,0.0,0.0,0.02067313935,0.0,0.145,0.093,17.928,0.444,8.009,0.117,2.683,0.507,7.57,0.142,0.057,1.671,1.44,1.654,1.387,-0.006849315068,-0.0412371134,-0.04312553373,0.002257336343,-0.5445032133,-0.025,0.001119402985,-0.02687140115,0.07375886525,-0.02739726027,-0.01724137931,0.1901709402,0.0650887574,0.06298200514,-0.1204819277,0.04979121341,-0.07547147777
7257,1970-09-30,MRK,0.0,0.0,0.1506849315,0.0,0.0,0.05810993951,0.0,0.412,0.236,29.112,2.49,26.516,0.468,0.07,0.705,19.127,0.19,0.151,3.487,0.3,2.898,7.651,0.0,1.185185185,0.06621740404,-0.09454545455,0.1062622554,0.0,0.0,0.0,0.0,0.0,0.006666666667,-0.08140147524,0.0,0.0,0.1062753036,-0.1422216809,0.02435616925
2817,1970-09-30,CAT,0.0,0.0,0.2096774194,0.0,0.0,0.07839851024,0.0,0.238,0.131,16.012,3.1,9.219,0.218,1.183,0.191,7.206,0.114,0.065,2.006,0.842,2.008,2.444,0.0,0.9552238806,0.06505254756,-0.1388888889,0.1056608299,0.09547738693,-0.06408227848,0.02139037433,-0.06403429017,0.0,0.03174603175,-0.1845528455,0.0,0.0,0.1610451306,-0.1291228683,0.1057120392
3980,1970-09-30,DIS,0.0,0.0,0.4631578947,0.0,0.0,0.2289080199,0.0,0.204,0.115,41.576,0.196,41.821,0.209,0.019,0.309,13.13,0.177,0.13,2.516,0.227,2.566,3.479,0.0303030303,0.2234042553,0.3983586708,-0.3170731707,1.324292781,0.07179487179,-0.9855732726,0.1486988848,0.1025275002,0.1346153846,0.06557377049,0.718579235,-0.6391096979,-0.3546277666,-0.01220897217,-0.1537436301,0.1050758224
3170,1970-09-30,CL,0.0,0.0,0.1126760563,0.0,0.0,0.0355446153,0.0,0.171,0.081,16.245,3.0,16.77,0.215,0.606,0.526,7.548,0.049,0.033,2.851,0.794,2.126,2.032,0.0,0.265625,0.09770930468,-0.1097922849,0.1229409401,0.0,0.0,0.0,0.0,0.0,0.0,0.2220317188,0.0,0.0,0.1226519337,0.05655639575,0.1107591526
7241,1970-09-30,CVS,0.0,0.0,0.1538461538,0.0,0.0,-0.02337958035,0.0,0.308,0.256,23.465,1.87,36.423,0.452,0.268,0.421,11.069,0.065,0.049,1.902,0.657,2.603,6.086,0.0,-0.06569343066,0.1475449922,-0.1461187215,-0.1447590871,0.0,0.0,0.0,0.0,0.0,-0.02,0.09815242494,0.0,0.0,0.3566651806,0.04199669967,0.04460079959
6066,1970-09-30,IBM,0.0,0.0,0.02252252252,0.0,0.0,0.02154857931,0.0,0.414,0.138,35.397,1.56,21.65,0.346,0.215,0.766,14.374,0.27,0.134,1.902,0.4,2.263,6.554,0.0,0.5862068966,0.1353561921,-0.1333333333,0.1539896594,0.0,0.0,0.0,0.0,0.0,0.0,0.2521395655,0.0,0.0,0.1538732394,0.00899692368,-0.005171493796
8530,1970-09-30,PFE,0.0,0.0,0.2592592593,0.0,0.0,0.0985022957,0.0,0.231,0.113,28.0,1.86,21.353,0.271,0.506,0.619,12.4,0.122,0.092,2.263,0.571,2.293,4.364,0.0,-0.2260273973,0.009700335365,-0.1014492754,0.02275122138,0.02651515152,-0.02127659574,0.003241491086,-0.02223624034,0.01666666667,0.03370786517,-0.1208236208,0.0,0.0,0.06051032807,-0.01277508456,-0.03994026321
1722,1970-09-30,ADM,0.0,0.0,0.6349206349,0.0,0.0,0.0,0.0,0.154,0.112,9.469,3.03,-4.285,0.152,2.347,0.087,5.243,0.032,0.02,0.138,1.086,2.19,0.873,0.0,0.2307692308,-0.04091967994,-0.174386921,0.2111362352,0.0,0.0,0.0,0.0,0.0,0.0,-0.3727272727,0.0,0.0,0.2108183079,0.2359352918,-0.1522577986
2403,1970-09-30,BMY,0.0,0.0,0.03703703704,0.0,0.0,0.0470073255,0.0,0.262,0.163,25.754,2.01,37.062,0.32,0.749,0.68,15.963,0.087,0.072,2.946,0.676,1.955,6.471,0.0,0.4553571429,0.03922201598,-0.04739336493,0.05286781626,0.0,0.0,0.0,0.0,0.0,0.0,0.1409759876,0.0,0.0,0.0528799219,0.00699669967,0.004424357051
2991,1970-09-30,CVX,0.0,0.0,0.08661417323,0.0,0.0,0.02168221473,0.0,0.11,0.072,9.789,5.49,5.654,0.068,1.154,-0.419,7.94,0.19,0.109,3.584,0.388,1.683,0.977,0.0,0.6,0.05930094146,-0.06791171477,0.06098705198,0.0,0.002606429192,-2.420338983,0.003285317159,-0.005235602094,-0.009090909091,0.08343409915,0.0,0.0,0.07362637363,-0.02446292766,0.1002324586
4503,1970-09-30,XOM,0.0,0.0,0.1965811966,0.0,0.0,0.04627071823,0.0,0.17,0.089,15.666,5.18,7.584,0.15,1.115,0.301,5.648,0.122,0.069,157.923,0.693,1.487,1.53,0.0,0.5344827586,0.09391802248,-0.08963093146,0.06771786569,-0.006622516556,-0.0115248227,0.0,-0.01120448179,0.00826446281,-0.01428571429,1.980466538,0.0,0.0,0.09834888729,0.06574099191,0.000860253386
7435,1970-09-30,MMM,0.0,0.0,0.0119047619,0.0,0.0,0.007580035006,0.0,0.334,0.137,27.153,1.95,30.819,0.365,0.151,0.501,14.827,0.151,0.111,4.569,0.36,2.343,4.982,0.0,0.5393258427,0.0135120003,-0.02010050251,0.02276573856,0.0,0.0,0.0,0.0,0.0,0.0,0.08708065667,0.0,0.0,0.02278792856,0.01252650099,0.02593821904
1078,1970-12-31,ABT,0.0,0.0,0.1891891892,0.0,0.0,0.1054614101,0.0,0.217,0.165,27.483,1.37,32.86,0.235,0.984,0.554,12.582,0.114,0.087,2.364,0.64,1.963,4.207,-0.03125,-0.3888888889,-0.04200362521,-0.06802721088,-0.2018266171,-0.0329218107,0.06840390879,-0.01946902655,-0.07884911048,-0.008695652174,-0.01136363636,-0.001267427123,0.03392568659,-0.1153672826,-0.04883563192,0.01600602835,-0.1067631956
7257,1970-12-31,MRK,0.0,0.0,-0.08333333333,0.0,0.0,-0.01353701332,0.0,0.403,0.257,30.949,2.29,34.512,0.464,0.074,0.685,15.218,0.187,0.152,4.154,0.33,2.58,7.5,-0.02184466019,0.08898305085,0.06310112668,-0.08032128514,0.3015537789,-0.008547008547,0.05714285714,-0.02836879433,-0.2043707848,-0.01578947368,0.006622516556,0.1912819042,0.1,-0.1097308489,-0.01973598222,0.02435616925,-0.07718763479
6066,1970-12-31,IBM,0.0,0.0,0.06167400881,0.0,0.0,0.0425914093,0.0,0.37,0.18,37.724,1.55,19.892,0.296,0.287,0.736,12.639,0.278,0.136,2.36,0.436,1.806,6.396,-0.1062801932,0.3043478261,0.06574003447,-0.00641025641,-0.08120092379,-0.1445086705,0.3348837209,-0.03916449086,-0.120704049,0.02962962963,0.01492537313,0.2407991588,0.09,-0.2019443217,-0.02410741532,-0.005171493796,0.03654596828
7435,1970-12-31,MMM,0.0,0.0,0.03529411765,0.0,0.0,-0.004001998664,0.0,0.297,0.182,30.97,1.78,24.976,0.312,0.281,0.489,13.433,0.154,0.111,4.459,0.388,2.342,5.402,-0.1107784431,0.3284671533,0.1405737856,-0.08717948718,-0.1895908368,-0.1452054795,0.8609271523,-0.02395209581,-0.09401767047,0.01986754967,0.0,-0.02407529,0.07777777778,-0.0004268032437,0.08430349257,0.02593821904,0.05033761379
3144,1970-12-31,KO,0.0,0.0,-0.3116883117,0.0,0.0,-0.1487936611,0.0,0.359,0.24,35.131,1.65,33.357,0.454,0.099,0.468,15.069,0.121,0.091,2.886,0.537,2.089,7.789,0.01699716714,0.1483253589,0.006734296194,-0.04069767442,0.01884544899,-0.004385964912,-0.1680672269,-0.0564516129,-0.06647255606,0.01680672269,0.6851851852,0.03701042041,-0.09137055838,0.009178743961,-0.09724153917,0.04329542183,0.0235433608
2285,1970-12-31,BA,0.0,0.0,0.1,0.0,0.0,0.06176980432,0.0,0.06,0.025,20.833,1.88,11.357,0.027,5.363,0.043,7.331,0.037,0.006,2.727,2.239,1.59,0.52,0.1538461538,0.3157894737,-0.2045740903,-0.3138686131,-6.800306435,26.0,-0.1877934272,-0.02272727273,-0.3630755864,-0.2127659574,1.0,-0.3294811901,-0.01322168356,0.01597444089,0.4606741573,-0.2560526136,0.367589493
1209,1970-12-31,APD,0.0,0.0,-0.1935483871,0.0,0.0,-0.1264028269,0.0,0.145,0.044,21.024,0.388,9.227,0.117,2.683,0.507,7.57,0.142,0.056,2.06,1.44,1.654,1.597,0.0,-0.5268817204,0.1726907631,-0.1261261261,0.1520789112,0.0,0.0,0.0,0.0,0.0,-0.01754385965,0.2327947337,0.0,0.0,0.151405912,-0.07547147777,0.0776755073
4503,1970-12-31,XOM,0.0,0.0,0.3357142857,0.0,0.0,0.06959229923,0.0,0.184,0.119,12.711,4.99,8.736,0.158,1.123,0.309,6.124,0.149,0.079,5.628,0.714,1.54,1.461,0.08235294118,0.3370786517,-0.1886250479,-0.03667953668,0.1518987342,0.05333333333,0.007174887892,0.02657807309,0.0842776204,0.2213114754,0.1449275362,-0.9643623791,0.0303030303,0.03564223268,-0.04509803922,0.000860253386,-0.001668749667
